ChineseEnglish,ChineseJapaneseEnglish,ChineseGermanEnglish,ChineseTurkishEnglish,ChineseRussianEnglish,ChineseJapaneseGermanEnglish,ChineseGermanJapaneseEnglish
"The cramped earthquake-resistant shelter has become the temporary home of Zhang Xiuhua (58), a farmer from Leigu Town in Beichuan. Right in the center of this ""home,"" hangs a portrait framed in an exquisite frame.","The small earthquake-resistant shelf has become a temporary home for Zhang Xiuhua (58), a farmer from Kitagawa Suriko Town. In the center of this ""home,"" there is a portrait beautifully framed and hanging on the wall.","The small earthquake shelter has already become a temporary home for 58-year-old farmer Zhang Xiuhua from the village of Leigu in Beichuan. And in the middle of this ""home"" hangs a picture framed in an elaborately designed frame.","The narrow earthquake-resistant shelter has become the temporary home of farmer Zhang Xiuhua (58) in Beichuan Leiguzhen, and in the middle of this ""home,"" a picture is hanging, beautifully framed.","A narrow protective shelter has become a temporary home for farmer Zhang Xiuhua (58 years old) from the village of Leigudan in northern Jilin, and in the center of this ""home"" hangs a portrait in a beautiful frame.","The narrow earthquake protection shelf serves as a temporary home for Zhang Xiuhua (58), a farmer from Kitagawa Suiko. In the middle of this ""home,"" a beautiful portrait hangs in a magnificent frame.","The cramped earthquake-resistant accommodation has become a temporary home for 58-year-old farmer Chang Xiufa, who lives in Leigu Town, Beichuan County, Sichuan Province. In the center of this ""home,"" a picture is hung in a cleverly designed frame."
"In the image, General Secretary of the Communist Party of China Hu Jintao and Premier Wen Jiabao are tightly shaking hands at Mianyang Airport. Below the image is a line of text: ""The Great Handshake, The Unity of the Nation.""","In the image, Hu Jintao, General Secretary of the Communist Party of China, and Wen Jiabao, Premier of the State Council, are firmly shaking hands at Mianyang Airport. Below the image, there is a caption that reads, ""Great handshake, cohesion of the nation.""","In the picture, the General Secretary of the Central Committee of the Communist Party of China, Hu Jintao, and the Prime Minister of the State Council, Wen Jiabao, are holding hands at the Mianyang airport. Below the picture is a caption that reads: ""A great handshake, the unity of the nation.""","In the image, Chinese Communist Party General Secretary Hu Jintao and State Minister Wen Jiabao are shaking hands tightly at Mianyang Airport, with the text ""Great Handshake, Unity of the Nation"" below the image.","In the image, Hu Jintao, General Secretary of the Central Committee of the Communist Party of China, and Wen Jiabao, Premier of the State Council, are firmly shaking hands at Mianyang Airport. Beneath the image is the caption: ""The Great Handshake, National Unity.""","In the picture, the General Secretary of the Central Committee of the Communist Party of China, Hu Jintao, and the Prime Minister, Wen Jiabao, are energetically shaking hands at the Mianyang airport. Below the picture, the headline reads: ""Great Handshake, National Unity.""","The photo shows Hu Jintao, the General Secretary of the Central Committee of the Communist Party of China, and Premier Wen Jiabao holding hands at Mandalay Airport. Below the photo is the caption, ""A Great Handshake, Unity of the Nation."""
"On May 16, four days after the Wenchuan earthquake in Sichuan, Hu Jintao flew from Beijing to Mianzhu Airport in Sichuan to personally command the earthquake relief and rescue efforts.","On May 16, four days after the Sichuan Wenchuan earthquake occurred, Hu Jintao flew from Beijing to Mianzhu Airport in Sichuan to directly oversee the earthquake relief efforts.","On May 16, four days after the earthquake in Wenchuan, Sichuan, Hu Jintao flew from Beijing to Mianzhu Airport in Sichuan to personally oversee the earthquake rescue and relief efforts.","On May 16, four days after the Sichuan Wenchuan earthquake, Hu Jintao flew from Beijing to Sichuan Mianzhong Airport to personally oversee the rescue operations related to the earthquake.","On May 16, four days after the earthquake in Wenchuan, Sichuan, Hu Jintao flew from Beijing to Mianzhu Airport and personally led the rescue operations and disaster relief efforts.","On May 16, the fourth day after the earthquake in Wenchuan, Hu Jintao flew from Beijing to Mianzhu Airport in Sichuan to directly oversee the relief efforts following the disaster.","On May 16, 2008, four days after the earthquake in Wenchuan, Sichuan Province, Hu Jintao arrived at Mianzhut Airport in Sichuan Province by plane from Beijing and directly oversaw the earthquake rescue operations."
"Wen Jiabao, who flew to the disaster area to take command on the same day as the earthquake, greeted at the airport. As soon as the two met, they shook hands in front of the airplane as a sign of respect.","On the day of the earthquake, Wen Jiabao, who flew to the disaster area to take command, was greeted at the airport, and when the two first met, they shook hands in front of the airplane.","On the day of the earthquake, Wen Jiabao flew directly to the disaster area to take over coordination, and was received at the airport. When the two met, they shook hands in front of the airplane.","On the day of the earthquake, Wang Jiabao, who went to the disaster area, was welcomed at the airport; when the two saw each other, they greeted by shaking hands in front of the plane.","After the earthquake, Wen Jiabao immediately flew to the disaster zone, where he was met at the airport. When they met, they exchanged handshakes in front of the plane.","On the day of the earthquake, Wen Jiabao, who had flown into the disaster area, was received at the airport, and when the two met for the first time, they shook hands in front of the airplane.","On the day of the earthquake, Wen Jiabao flew to the disaster area. When he arrived at the airport, he was greeted by him, and the two shook hands and exchanged greetings in front of the airplane."
"The portrait of Hu and Wen hanging in Zhang Xiuhua's home has been digitally processed; the other individuals in the original image have been obscured, leaving only the scene of the two people shaking hands.","The image of Hu Jintao and Wen Jiabao hanging in Zhang Xiuhua's house has been digitally processed, and the other individuals who were originally in the picture have already been obscured, resulting in a frame that only features the two of them shaking hands.","The images of Hu and Wen that hang at Zhang Xiuhua's home are computer-edited. The other people in the original picture have been removed, so only the scene where the two individuals are shaking hands is visible.","The portraits of Hu and Wen hanging in Zhang Xiuhua's house have been processed by a computer; the other people in the original image have been covered, leaving only the image of the two shaking hands.","In the house of Zhang Xuhua, the image of Hu Jintao and Wen Jiabao was digitally altered, with the other people in the original image being hidden, leaving only the scene where the two men are shaking hands.","The picture of Hu and Wen, which hangs in Zhang Xiuhua's house, has been digitally altered. The other people who were originally visible in the picture have already been obscured, leaving only the depiction of the two shaking hands.","The portrait of Hu and Wen hanging in Zhang Xiuhua's house has been digitally altered. Other individuals in the original image have been concealed, and only the two figures holding hands are visible."
"Zhang Xiuhua recently said in an interview at her home that not long after the earthquake, a volunteer claiming to be from Shanxi drove a van to Leigu Town for disaster relief.","Zhang Xiuhua recently mentioned during an interview at her home that shortly after the earthquake, self-proclaimed volunteers from Shanxi came to the rescue in a van to Liguo Town.","Zhang Xiuhua said in a recent interview with our newspaper at home that shortly after the earthquake, a man who introduced himself as a volunteer from Shanxi came to Leigu Town in a small van to help with disaster relief efforts.","In an interview she gave to our newspaper the other day, Zhang Xiuhua mentioned that shortly after the earthquake, someone identifying themselves as a volunteer from Shanxi came to Leiguzhen with a sandwich vehicle to carry out relief efforts.","Zhang Xuyihua recently told our newspaper in an interview that shortly after the earthquake, a volunteer arrived in their city of Leigu, introducing himself as a resident of Shanxi Province, who came in a truck to assist with the rescue efforts.","Zhang Xiuhua recently reported in an interview at home that shortly after the earthquake, a man identified as a volunteer from Shanxi arrived in Laiguzhen with a small truck to provide assistance.","Zhang Xiuhua recently shared in an interview with our newspaper that shortly after the earthquake, a man who called himself a volunteer arrived in a light vehicle from Shanxi to the city of Laigu to help with relief efforts."
"""When he came, the car was filled with portraits, which were distributed for free throughout our village. On the day of the earthquake, Premier Wen came to the disaster area to visit us, and soon General Secretary Hu also came to see us. They brought us great comfort. As soon as I received the portrait, I hung it in the most visible place in my home.""","""When he came, there were many pictures stacked in the car, which were distributed for free along our village. On the day of the great earthquake, Prime Minister Wen came to the disaster area immediately to visit us, and soon Secretary Hu also came to see us. They provided us with great comfort. As soon as I received the pictures, I hung them in the most prominent place in my home.""","""When he arrived, the car was full of portraits that were distributed for free in our village. On the day of the great earthquake, Prime Minister Wen came to the disaster area to visit us, and shortly thereafter, General Secretary Hu also came to us. They provided us with great comfort. When I received the portrait, I immediately hung it in the most visible place in my house.""","""When he came to us, his car was full of pictures, which he distributed for free in our village. On the day of the big earthquake, Prime Minister Wen came to visit us in the disaster area, and shortly after, General Secretary Hu also came to visit us, giving us great comfort. As soon as I received the pictures, I hung them up in the most prominent place in my house.""","""When he arrived, the car was full of images that were being distributed free of charge throughout our village. On the day of that strong earthquake, Prime Minister Wen came to the disaster zone to visit us, and soon General Secretary Hu also paid us a visit. They brought us great comfort. I immediately hung the image in the most prominent place in my home.""","""When he came, many pictures were stacked in the car and were distributed for free in our village. On that day of the great earthquake, Prime Minister Wen came to visit us. Shortly afterwards, General Secretary Hu also visited us, and they provided us with great comfort. As soon as I received the pictures, I hung them immediately in the most prominent place in my house.""","""When he arrived, the car was filled with photos that had been distributed for free in our village. On the day of the great earthquake, Prime Minister Wen rushed to the disaster area, and shortly after, General Secretary Hu also came to visit us. They provided us with great comfort. I immediately displayed those photos in the most prominent place in my home."""
"In the tents along the road in Leigu Town, almost every household has hung this portrait.","Along the road in Sugidaira, most of the houses display this picture.","In the tents along the street in Leiguzhen, this picture hangs in almost every house.","In the village of Lezgor, this poster is hanging in almost every tent set up along the road.","In the tents along the road in the town of Leigu, this portrait hangs in almost every house.",Almost all the houses along the street from Raiko-Chin display this portrait.,"On the tents along Rue Jean, this photo hangs at almost every family's place."
The shops along the street even hang portraits on the walls outside so that everyone passing by can see them.,The store along the street hangs paintings on its exterior to show them to passersby.,The shops along the street even hang pictures on the walls outside the stores so that everyone passing by can see them.,"The shops lining the street even display pictures on the walls outside, making sure that everyone passing by can see them.",Stores along the street even hang images on the outside walls so that all passersby can see them.,The shops by the roadside hang pictures on their outer walls and show them to all passersby.,The stores along the street hang pictures on their exterior walls so that people walking by can see them.
"Chen Xinggui is a veteran who runs a grocery store in Leigu Town. The walls of his two-story store cracked during the earthquake, making it uninhabitable. He and his family are now living in a tent in front of the store.","Chen Xinggui is a retired veteran who runs a general store in Leigu Town. The walls of his two-story store have cracked due to an earthquake, making it uninhabitable. He and his family are living in a tent in front of the store.","Chen Xinggui is a former soldier who runs a grocery store in Leiguzhen. The walls of his two-story shop building have cracked in an earthquake and can no longer be inhabited. Therefore, he and his family are living in a tent in front of the store.",Chen Xinggui is a veteran and runs a grocery store in Lei Gu town. The walls of his two-story shop have cracked in the earthquake and it has become uninhabitable. He and his family are living in a tent set up in front of the store.,"Chen Xingui is a veteran who runs a store in the town of Leigu. The walls of his two-story building cracked during the earthquake, and it has become uninhabitable. He and his family now live in a tent in front of the store.","Chen Xinggui is a war veteran and runs a household goods store in Leigucheng. The walls of his two-story shop have become cracked due to an earthquake, and he can no longer live there. He and his family are living in a tent in front of the store.",Chen Xingyu is a war veteran who runs a grocery store in Laigzan. The walls of his two-story store are cracked due to an earthquake and are no longer livable. He and his family are now living in a tent set up in front of the store.
